Vehicle ID,Origin,Destination,Travel Time,Distance,Emissions,Avg Speed,Passengers,Completed
83,1742,1591,1102.88,10175.9,16.0723,9.2267,5,Yes
84,337,1526,955.814,7212.16,10.2888,7.54557,3,Yes
85,1762,1280,1162.46,5936.78,8.64489,5.10707,5,Yes
86,1802,1463,1874.49,12082.9,23.7652,6.44595,4,Yes
87,1630,1488,1423.3,9747.54,14.0532,6.84855,5,Yes
88,1523,1568,1889.89,9197.5,14.203,4.8667,5,Yes
89,1355,426,344.412,6738.98,12.2998,19.5666,3,Yes
90,1584,407,287.208,2537.6,4.67663,8.8354,3,Yes
91,1683,951,519.02,2777.4,3.65101,5.35124,5,Yes
92,1856,1396,22.2,316.545,0.630991,14.2587,1,Yes
93,103,1820,76.9994,1049.69,1.27582,13.6324,1,Yes
94,445,1515,411.516,1572.56,1.85259,3.82137,5,Yes
95,1866,1599,212.504,3773.08,4.56826,17.7554,3,Yes
96,1766,1728,1930.48,12698.3,12.7415,6.57778,4,Yes
97,1809,1437,660.586,7035.31,11.1098,10.6501,2,Yes
98,642,1675,1042.29,9341.24,15.7274,8.9622,1,Yes
99,57,1887,1794.81,15548.8,23.2851,8.66319,5,Yes
100,1852,1713,714.373,5668.14,6.89047,7.93442,1,Yes
101,1377,656,400.015,2704.01,4.41982,6.75977,4,Yes
102,1452,1384,1480.89,9173.37,9.83255,6.19452,5,Yes
103,427,1264,846.94,7972.89,12.4945,9.41376,2,Yes
104,1794,1611,318.81,3671.03,6.05362,11.5148,3,Yes
105,559,915,243.406,1251.22,1.33316,5.14047,4,Yes
106,781,1509,1706.23,13556,21.6113,7.94498,1,Yes
107,667,1130,1765.42,12777.1,18.5796,7.23742,1,Yes
108,230,1490,1985.76,9685.38,13.1385,4.87741,1,Yes
109,1338,1564,803.451,5664.36,6.29917,7.05004,3,Yes
110,69,1427,618.096,4645.6,4.72575,7.51598,4,Yes
111,1818,1516,1496.58,11422.9,18.4122,7.63263,3,Yes
112,220,1632,847.04,5777.97,11.079,6.82136,2,Yes
113,927,1938,1757.92,11960.3,14.0575,6.80368,5,Yes
114,1638,1677,181.902,1726.79,3.32067,9.49297,3,Yes
115,740,1526,1411.6,12588.9,16.4812,8.91815,2,Yes
116,640,1456,1350.62,10533.9,10.6089,7.79932,4,Yes
117,1424,1512,1824.1,10325,10.7719,5.6603,5,Yes
118,1665,1042,520.92,4132.05,5.89032,7.93222,5,Yes
119,1632,1740,711.973,3988.66,4.42375,5.60226,5,Yes
120,826,1125,1826.4,13909.3,24.4646,7.6157,5,Yes
121,1745,1939,248.406,2737.43,3.07708,11.02,5,Yes
122,1354,305,1198.55,10454.1,16.1894,8.72228,4,Yes
123,1489,1444,194.703,2911.46,3.40987,14.9534,4,Yes
124,111,1614,2079.98,13490.2,26.6577,6.48575,5,Yes
125,112,1624,105.399,1329.92,2.57389,12.618,1,Yes
126,1924,1499,262.507,2688.21,3.43712,10.2405,1,Yes
127,1624,1158,281.008,2575.45,2.71646,9.16503,5,Yes
128,872,1538,1492.28,10145.9,18.2965,6.79893,1,Yes
129,1038,1451,1057.79,8132.23,9.37322,7.68795,2,Yes
130,1513,732,139.699,1279.29,1.44321,9.15748,4,Yes
131,1336,1553,882.432,9073.59,15.1874,10.2825,3,Yes
132,1928,449,2217.81,15056.8,23.5145,6.78901,2,Yes
133,1667,1431,1025.4,9190.18,17.971,8.96256,1,Yes
134,1850,1,676.482,7017.06,7.42434,10.3729,2,Yes
135,1764,428,2528.02,16241.6,26.7846,6.42464,5,Yes
136,1106,1382,1729.72,7323.4,8.76006,4.23385,3,Yes
137,100,1596,347.012,3936.04,5.43107,11.3427,1,Yes
138,1940,1671,65.7996,591.167,0.610383,8.98437,1,Yes
139,1345,1734,259.307,3327.54,5.29102,12.8325,3,Yes
140,1939,1727,356.113,2654.15,4.99629,7.45312,1,Yes
141,1368,764,2397.49,12165,22.5497,5.07407,3,Yes
142,1535,419,620.096,7870.94,12.3994,12.6931,2,Yes
143,1519,1837,1550.57,11952.3,22.7965,7.70831,3,Yes
144,1625,1923,1856.69,12440.1,20.4657,6.70015,5,Yes
145,1826,1351,352.312,2771.4,3.3583,7.86632,1,Yes
146,1659,1452,122.399,1553.79,1.94277,12.6945,2,Yes
147,1417,1695,67.9995,1266.78,2.03643,18.6293,4,Yes
148,1914,1718,1185.06,9800.89,18.2471,8.27039,4,Yes
149,1654,1018,1056.59,7415.05,7.551,7.01791,4,Yes
150,1056,814,822.746,5675.65,7.37558,6.89842,3,Yes
151,1911,883,536.516,2080.95,3.18183,3.87863,1,Yes
152,100,1720,207.803,2494.9,4.39372,12.0061,5,Yes
153,1339,77,1051.29,8550.98,11.1176,8.1338,3,Yes
154,685,1013,465.219,3940.72,7.3813,8.47067,2,Yes
155,1436,1419,621.095,4685.88,7.92299,7.54455,3,Yes
156,1415,1585,1366.11,10070.4,19.5693,7.37158,2,Yes
157,1616,1611,95.6991,1293.31,1.95488,13.5144,5,Yes
158,1462,1077,842.641,7822.79,12.8196,9.28366,1,Yes
159,1433,1515,869.935,9026.57,14.2048,10.3761,5,Yes
160,1515,1915,297.909,3764.21,7.35779,12.6355,2,Yes
