Road ID,Length,Capacity,Vehicle Count,Congestion Factor
10156,138.036,55,0,0
10155,192.996,77,0,0
10154,149.059,59,0,0
10153,158.382,63,0,0
10152,138.852,55,0,0
10151,168.337,67,0,0
10150,126.02,50,0,0
10149,178.404,71,0,0
10148,149.822,59,0,0
10147,204.167,122,0,0
10146,190.168,76,0,0
10145,149.524,59,0,0
10144,128.736,51,0,0
10143,133.844,53,0,0
10142,237.756,142,0,0
10141,138.955,55,0,0
10140,145.781,58,0,0
10139,124.852,49,0,0
10138,148.718,59,0,0
10137,158.691,63,0,0
10136,125.362,50,0,0
10135,193.807,77,0,0
10134,152.899,61,0,0
10133,200.003,120,0,0
10132,134.618,53,0,0
10131,133.225,53,0,0
10130,202.714,121,0,0
10129,152.486,60,0,0
10128,204.863,122,0,0
10127,217.846,130,0,0
10126,184.35,73,0,0
10125,160.003,64,0,0
10124,182.942,73,0,0
10123,197.928,79,0,0
10122,140.812,56,0,0
10121,163.371,65,0,0
10120,133.24,53,0,0
10119,126.151,50,0,0
10118,172.07,68,0,0
10117,135.138,54,0,0
10116,109.137,43,0,0
10115,109.137,43,0,0
10114,109.137,43,0,0
10113,125.601,50,0,0
10112,161,64,0,0
10111,88.5319,17,0,0
10110,109.137,43,0,0
10109,88.5319,17,0,0
10108,136.744,54,0,0
10107,73.6923,14,0,0
10106,136.744,54,0,0
10105,109.137,43,0,0
10104,147.385,58,0,0
10103,73.6923,14,0,0
10102,165.162,66,0,0
10101,153.805,61,0,0
10100,75.7907,15,0,0
10099,70.5714,14,0,0
10098,70.5714,14,0,0
10097,75.7907,15,0,0
10096,70.5714,14,0,0
10095,70.5714,14,0,0
10094,70.5714,14,0,0
10093,75.7907,15,0,0
10092,70.5714,14,0,0
10091,70.5714,14,0,0
10090,44.8218,8,0,0
10089,75.7907,15,0,0
10088,70.5714,14,0,0
10087,70.5714,14,0,0
10086,75.7907,15,0,0
10085,70.5714,14,0,0
10084,75.7907,15,0,0
10083,70.5714,14,0,0
10082,75.7907,15,0,0
10081,65.5798,13,0,0
10080,75.7907,15,0,0
10079,70.5714,14,0,0
10078,44.8218,8,0,0
10077,70.5714,14,0,0
10076,82.9167,16,0,0
10075,65.5798,13,0,0
10074,90.1125,18,0,0
10073,82.9167,16,0,0
10072,82.9167,16,0,0
10071,108.883,43,0,0
10070,158.708,63,0,0
10069,150.013,60,0,0
10068,89.7391,17,0,0
10067,158.708,63,0,0
10066,59.8261,11,0,0
10065,89.7391,17,0,0
10064,89.7391,17,0,0
10063,119.652,47,0,0
10062,89.7391,17,0,0
10061,243.788,146,0,0
10060,220.222,132,0,0
10059,187.338,74,0,0
