Road ID,Length,Capacity,Vehicle Count,Congestion Factor
10058,235.256,141,0,0
10057,220.222,132,0,0
10056,198.783,79,0,0
10055,236.771,142,0,0
10054,137.739,55,0,0
10053,137.739,55,0,0
10052,165.5,66,0,0
10051,137.739,55,0,0
10050,137.739,55,0,0
10049,165.5,66,0,0
10048,137.739,55,0,0
10047,137.739,55,0,0
10046,137.739,55,0,0
10045,146.459,58,0,0
10044,130.818,52,0,0
10043,61.4,12,0,0
10042,68.226,13,0,0
10041,43.25,8,0,0
10040,61.4,12,0,0
10039,61.4,12,0,0
10038,43.25,8,0,0
10037,68.226,13,0,0
10036,86.5,17,0,0
10035,68.5422,13,0,0
10034,92.1,18,0,0
10033,61.4,12,0,0
10032,68.5422,13,0,0
10031,86.5,17,0,0
10030,68.5422,13,0,0
10029,61.4,12,0,0
10028,68.226,13,0,0
10027,60.9286,12,0,0
10026,60.9286,12,0,0
10025,60.9286,12,0,0
10024,85.7778,17,0,0
10023,87.1583,17,0,0
10022,69.8108,13,0,0
10021,46.5405,9,0,0
10020,93.0811,18,0,0
10019,46.5405,9,0,0
10018,101.509,40,0,0
10017,69.8108,13,0,0
10016,87.1583,17,0,0
10015,118.721,47,0,0
10014,46.5405,9,0,0
10013,101.509,40,0,0
10012,87.1583,17,0,0
10011,132.04,52,0,0
10010,101.509,40,0,0
10009,87.1583,17,0,0
10008,77.2791,15,0,0
10007,69.8108,13,0,0
10006,127.994,51,0,0
10005,129.185,51,0,0
10004,129.185,51,0,0
10003,96.8889,19,0,0
10002,129.185,51,0,0
10001,96.8889,19,0,0
10000,96.8889,19,0,0
9999,64.5926,12,0,0
9998,96.8889,19,0,0
9997,96.8889,19,0,0
9996,96.8889,19,0,0
9995,96.8889,19,0,0
9994,153.896,61,0,0
9993,129.185,51,0,0
9992,127.994,51,0,0
9991,127.994,51,0,0
9990,105.675,42,0,0
9989,89.6554,17,0,0
9988,129.185,51,0,0
9987,137.477,54,0,0
9986,157.457,62,0,0
9985,89.6554,17,0,0
9984,153.406,61,0,0
9983,73.3638,14,0,0
9982,54.6347,10,0,0
9981,65.6897,13,0,0
9980,43.7931,8,0,0
9979,39.3265,7,0,0
9978,54.6347,10,0,0
9977,65.6897,13,0,0
9976,54.6347,10,0,0
9975,54.6347,10,0,0
9974,43.7931,8,0,0
9973,43.7931,8,0,0
9972,54.6347,10,0,0
9971,73.3638,14,0,0
9970,54.6347,10,0,0
9969,87.5862,17,0,0
9968,87.5862,17,0,0
9967,73.3638,14,0,0
9966,54.6347,10,0,0
9965,93.4797,18,0,0
9964,68.905,13,0,0
9963,54.6347,10,0,0
9962,43.7931,8,0,0
9961,65.3333,13,0,0
9960,43.7931,8,0,0
9959,161.293,64,0,0
9958,42.3333,8,0,0
9957,89.6276,17,0,0
9956,42.3333,8,0,0
9955,89.6276,17,0,0
9954,101.357,40,0,0
9953,89.6276,17,0,0
9952,84.6667,16,0,0
9951,63.5,12,0,0
9950,101.357,40,0,0
9949,63.5,12,0,0
9948,105.833,42,0,0
9947,42.3333,8,0,0
9946,101.357,40,0,0
9945,84.6667,16,0,0
9944,42.3333,8,0,0
9943,63.5,12,0,0
9942,84.6667,16,0,0
9941,89.8589,17,0,0
9940,84.4,16,0,0
9939,93.2567,18,0,0
9938,79.3333,15,0,0
9937,79.3333,15,0,0
9936,79.3333,15,0,0
9935,57.9162,11,0,0
9934,57.9162,11,0,0
9933,79.3333,15,0,0
9932,62.8541,12,0,0
9931,51.3636,10,0,0
9930,62.8541,12,0,0
9929,62.8541,12,0,0
9928,44.4069,8,0,0
9927,77.0455,15,0,0
9926,51.3636,10,0,0
9925,62.8541,12,0,0
9924,77.0455,15,0,0
9923,62.8541,12,0,0
9922,62.8541,12,0,0
9921,51.3636,10,0,0
9920,102.727,41,0,0
9919,44.4069,8,0,0
9918,62.8541,12,0,0
9917,102.727,41,0,0
9916,44.4069,8,0,0
9915,85.1376,17,0,0
9914,21.7269,4,0,0
9913,62.8541,12,0,0
9912,44.4069,8,0,0
9911,89.2857,17,0,0
9910,74.8615,14,0,0
9909,89.2857,17,0,0
9908,74.8615,14,0,0
9907,89.2857,17,0,0
9906,89.2857,17,0,0
9905,74.8615,14,0,0
9904,89.2857,17,0,0
9903,59.5238,11,0,0
9902,74.8615,14,0,0
9901,100.165,40,0,0
9900,59.5238,11,0,0
9899,89.2857,17,0,0
9898,59.5238,11,0,0
9897,95.5532,19,0,0
9896,59.5238,11,0,0
9895,59.5238,11,0,0
9894,74.8615,14,0,0
9893,59.5238,11,0,0
9892,54.2856,10,0,0
9891,74.8615,14,0,0
9890,90.8,18,0,0
9889,54.2856,10,0,0
9888,74.8615,14,0,0
9887,95.5532,19,0,0
9886,89.927,17,0,0
9885,89.927,17,0,0
9884,98.1859,19,0,0
9883,68.2703,13,0,0
9882,68.2703,13,0,0
9881,68.2703,13,0,0
9880,84.4174,16,0,0
9879,65.8118,13,0,0
9878,55.4372,11,0,0
9877,52.3298,10,0,0
9876,52.3298,10,0,0
9875,35.7808,7,0,0
9874,56.3636,11,0,0
9873,52.3298,10,0,0
9872,52.3298,10,0,0
9871,52.3298,10,0,0
9870,52.3298,10,0,0
9869,52.3298,10,0,0
9868,35.7808,7,0,0
9867,56.3636,11,0,0
9866,71.5615,14,0,0
9865,35.7808,7,0,0
9864,60.522,12,0,0
9863,52.3298,10,0,0
9862,60.522,12,0,0
9861,60.522,12,0,0
9860,60.522,12,0,0
9859,35.7808,7,0,0
9858,56.3636,11,0,0
9857,35.7808,7,0,0
9856,60.522,12,0,0
9855,60.522,12,0,0
9854,66.1395,13,0,0
9853,35.7808,7,0,0
9852,35.7808,7,0,0
9851,66.1395,13,0,0
9850,60.522,12,0,0
9849,52.3298,10,0,0
9848,56.3636,11,0,0
9847,80.2359,16,0,0
9846,97.449,19,0,0
9845,84,16,0,0
9844,98.6821,19,0,0
9843,98.6821,19,0,0
9842,126,50,0,0
9841,84,16,0,0
9840,84,16,0,0
9839,98.6821,19,0,0
9838,66.6795,13,0,0
9837,126,50,0,0
9836,84,16,0,0
9835,98.6821,19,0,0
9834,126,50,0,0
9833,98.6821,19,0,0
9832,98.6821,19,0,0
9831,98.6821,19,0,0
9830,103.579,41,0,0
9829,125.627,50,0,0
9828,66.6795,13,0,0
9827,66.6795,13,0,0
9826,81.5408,16,0,0
9825,81,16,0,0
9824,81,16,0,0
9823,47.7613,9,0,0
9822,84.8639,16,0,0
9821,64.8368,12,0,0
9820,81,16,0,0
9819,64.8368,12,0,0
9818,47.7613,9,0,0
9817,50.6316,10,0,0
9816,86.0712,17,0,0
9815,75.9474,15,0,0
9814,95.5225,19,0,0
9813,64.8368,12,0,0
9812,64.8368,12,0,0
9811,202.214,121,0,0
9810,143.214,57,0,0
9809,196.668,78,0,0
9808,127.029,50,0,0
9807,59.375,11,0,0
9806,160.738,64,0,0
9805,118.75,47,0,0
9804,118.75,47,0,0
9803,89.0625,17,0,0
9802,201.316,120,0,0
9801,118.75,47,0,0
9800,62.5,12,0,0
9799,62.5,12,0,0
9798,62.5,12,0,0
9797,41.6667,8,0,0
9796,83.3333,16,0,0
9795,83.3333,16,0,0
9794,84.1688,16,0,0
9793,83.3333,16,0,0
9792,41.6667,8,0,0
9791,83.3333,16,0,0
9790,62.5,12,0,0
9789,41.6667,8,0,0
9788,41.6667,8,0,0
9787,83.3333,16,0,0
9786,62.5,12,0,0
9785,62.5,12,0,0
9784,62.5,12,0,0
9783,62.5,12,0,0
9782,83.3333,16,0,0
9781,62.5,12,0,0
9780,62.5,12,0,0
9779,62.5,12,0,0
9778,70.1017,14,0,0
9777,62.5,12,0,0
9776,62.5,12,0,0
9775,84.1688,16,0,0
9774,62.5,12,0,0
9773,62.5,12,0,0
9772,62.5,12,0,0
9771,41.6667,8,0,0
9770,48.455,9,0,0
9769,62.5,12,0,0
9768,126.995,50,0,0
9767,96.5846,19,0,0
9766,103.044,41,0,0
9765,103.044,41,0,0
9764,103.044,41,0,0
9763,103.044,41,0,0
9762,96.5846,19,0,0
9761,103.044,41,0,0
9760,103.044,41,0,0
9759,124.698,49,0,0
9758,103.044,41,0,0
9757,103.659,41,0,0
9756,62.1951,12,0,0
9755,62.1951,12,0,0
9754,124.39,49,0,0
9753,64.831,12,0,0
9752,64.831,12,0,0
9751,51.21,10,0,0
9750,64.831,12,0,0
9749,51.21,10,0,0
9748,64.831,12,0,0
9747,64.831,12,0,0
9746,91.5556,18,0,0
9745,64.831,12,0,0
9744,64.831,12,0,0
9743,64.831,12,0,0
9742,91.5556,18,0,0
9741,68.8605,13,0,0
9740,82.6884,16,0,0
9739,94.389,18,0,0
9738,45.907,9,0,0
9737,64.831,12,0,0
9736,45.907,9,0,0
9735,225.793,135,0,0
9734,208.52,125,0,0
9733,164.482,65,0,0
9732,237.683,142,0,0
9731,316.391,189,0,0
9730,159.812,63,0,0
9729,67.6019,13,0,0
9728,74.3537,14,0,0
9727,95.1099,19,0,0
9726,74.3537,14,0,0
9725,99,19,0,0
9724,74.3537,14,0,0
9723,74.3537,14,0,0
9722,74.3537,14,0,0
9721,74.3537,14,0,0
9720,99,19,0,0
9719,66,13,0,0
9718,95.1099,19,0,0
9717,74.3537,14,0,0
9716,74.3537,14,0,0
9715,66,13,0,0
9714,66,13,0,0
9713,66,13,0,0
9712,66,13,0,0
9711,66,13,0,0
9710,66,13,0,0
9709,66,13,0,0
9708,118.189,47,0,0
9707,66,13,0,0
9706,47.5549,9,0,0
9705,81.4266,16,0,0
9704,68.4671,13,0,0
9703,65.5714,13,0,0
9702,56.6673,11,0,0
9701,56.6673,11,0,0
9700,56.6673,11,0,0
9699,56.6673,11,0,0
9698,56.6673,11,0,0
9697,56.6673,11,0,0
9696,56.6673,11,0,0
9695,56.6673,11,0,0
9694,133.934,53,0,0
9693,253.081,151,0,0
9692,228.529,137,0,0
9691,130.588,52,0,0
9690,165.846,66,0,0
9689,236.36,141,0,0
9688,65.2941,13,0,0
9687,217.672,130,0,0
9686,65.2941,13,0,0
9685,65.2941,13,0,0
9684,128.595,51,0,0
9683,69,13,0,0
9682,69,13,0,0
9681,79.5063,15,0,0
9680,45.7083,9,0,0
9679,69,13,0,0
9678,115,45,0,0
9677,29.8111,5,0,0
9676,43.7273,8,0,0
9675,43.7273,8,0,0
9674,29.8111,5,0,0
9673,48.195,9,0,0
9672,43.7273,8,0,0
9671,43.7273,8,0,0
9670,59.6222,11,0,0
9669,29.8111,5,0,0
9668,43.7273,8,0,0
9667,43.7273,8,0,0
9666,46.0516,9,0,0
9665,48.195,9,0,0
9664,43.7273,8,0,0
9663,48.195,9,0,0
9662,43.7273,8,0,0
9661,43.7273,8,0,0
9660,43.7273,8,0,0
9659,29.8111,5,0,0
9658,43.7273,8,0,0
9657,43.7273,8,0,0
9656,48.195,9,0,0
9655,29.8111,5,0,0
9654,29.8111,5,0,0
9653,43.7273,8,0,0
9652,48.195,9,0,0
9651,48.195,9,0,0
9650,43.7273,8,0,0
9649,43.7273,8,0,0
9648,43.7273,8,0,0
9647,43.7273,8,0,0
9646,59.6222,11,0,0
9645,43.7273,8,0,0
9644,43.7273,8,0,0
9643,43.7273,8,0,0
9642,43.7273,8,0,0
9641,43.7273,8,0,0
9640,43.7273,8,0,0
9639,43.7273,8,0,0
9638,48.195,9,0,0
9637,29.8111,5,0,0
9636,48.195,9,0,0
9635,29.8111,5,0,0
9634,46.0516,9,0,0
9633,43.7273,8,0,0
9632,43.7273,8,0,0
9631,29.8111,5,0,0
9630,43.7273,8,0,0
9629,43.7273,8,0,0
9628,43.7273,8,0,0
9627,48.195,9,0,0
9626,29.8111,5,0,0
9625,43.7273,8,0,0
9624,43.7273,8,0,0
9623,43.7273,8,0,0
9622,43.7273,8,0,0
9621,48.195,9,0,0
9620,43.7273,8,0,0
9619,43.7273,8,0,0
9618,43.7273,8,0,0
9617,60.7959,12,0,0
9616,46.0516,9,0,0
9615,29.8111,5,0,0
9614,43.7273,8,0,0
9613,29.8111,5,0,0
9612,59.6222,11,0,0
9611,29.8111,5,0,0
9610,46.0516,9,0,0
9609,40.5306,8,0,0
9608,40.5306,8,0,0
9607,29.8111,5,0,0
9606,59.6222,11,0,0
9605,64.6078,12,0,0
9604,43.7273,8,0,0
9603,50.9032,10,0,0
9602,56.9396,11,0,0
9601,50.9032,10,0,0
9600,50.9032,10,0,0
9599,50.9032,10,0,0
9598,56.9396,11,0,0
9597,50.9032,10,0,0
9596,50.9032,10,0,0
9595,72.0767,14,0,0
9594,50.9032,10,0,0
9593,50.9032,10,0,0
9592,56.9396,11,0,0
9591,50.9032,10,0,0
9590,50.9032,10,0,0
9589,50.9032,10,0,0
9588,50.9032,10,0,0
9587,56.9396,11,0,0
9586,50.9032,10,0,0
9585,72.0767,14,0,0
9584,56.9396,11,0,0
9583,50.9032,10,0,0
9582,56.9396,11,0,0
9581,36.0384,7,0,0
9580,56.9396,11,0,0
9579,56.9396,11,0,0
9578,50.9032,10,0,0
9577,57.0237,11,0,0
9576,50.9032,10,0,0
9575,56.9396,11,0,0
9574,56.9396,11,0,0
9573,76.3548,15,0,0
9572,72.0767,14,0,0
9571,56.9396,11,0,0
9570,56.9396,11,0,0
9569,76.3548,15,0,0
9568,76.3548,15,0,0
9567,56.9396,11,0,0
9566,50.9032,10,0,0
9565,56.9396,11,0,0
9564,56.9396,11,0,0
9563,56.9396,11,0,0
9562,76.3548,15,0,0
9561,50.9032,10,0,0
9560,80.6635,16,0,0
9559,80.5049,16,0,0
9558,36.0384,7,0,0
9557,36.0384,7,0,0
9556,76.5429,15,0,0
9555,51.0286,10,0,0
9554,50.9032,10,0,0
9553,44.2258,8,0,0
9552,104.299,41,0,0
9551,17.885,3,0,0
9550,30.9364,6,0,0
9549,220.009,132,0,0
9548,235.306,141,0,0
9547,183.883,73,0,0
9546,140.89,56,0,0
9545,204.941,122,0,0
9544,123.693,49,0,0
9543,222.74,133,0,0
9542,126.479,50,0,0
9541,204.362,122,0,0
9540,201.375,120,0,0
9539,150.047,60,0,0
9538,157.877,63,0,0
9537,136.459,54,0,0
9536,225.036,135,0,0
9535,139.316,55,0,0
9534,181.395,72,0,0
9533,152.27,60,0,0
9532,205.973,123,0,0
9531,192.627,77,0,0
9530,140.663,56,0,0
9529,125.399,50,0,0
9528,148.223,59,0,0
9527,134.35,53,0,0
9526,298.69,179,0,0
9525,230.673,138,0,0
9524,208.734,125,0,0
9523,136.125,54,0,0
9522,151.954,60,0,0
9521,148.489,59,0,0
9520,377.154,226,0,0
9519,204.414,122,0,0
9518,307.353,184,0,0
9517,144.534,57,0,0
9516,193.494,77,0,0
9515,195.849,78,0,0
9514,130.981,52,0,0
9513,153.951,61,0,0
9512,160.527,64,0,0
9511,132.823,53,0,0
9510,161.059,64,0,0
9509,180.801,72,0,0
9508,141.315,56,0,0
9507,142.285,56,0,0
9506,151.013,60,0,0
9505,126.562,50,0,0
9504,129.85,51,0,0
9503,150.083,60,0,0
9502,155.232,62,0,0
9501,134.97,53,0,0
9500,135.351,54,0,0
9499,184.505,73,0,0
9498,221.02,132,0,0
9497,196.657,78,0,0
9496,135.871,54,0,0
9495,147.054,58,0,0
9494,142.144,56,0,0
9493,223.143,133,0,0
9492,174.642,69,0,0
9491,245.801,147,0,0
9490,310.645,186,0,0
9489,150.722,60,0,0
9488,162.484,64,0,0
9487,397.368,238,0,0
9486,128.763,51,0,0
9485,211.341,126,0,0
9484,126.317,50,0,0
9483,133.24,53,0,0
9482,124.459,49,0,0
9481,205.937,123,0,0
9480,228.372,137,0,0
9479,165.012,66,0,0
9478,224.644,134,0,0
9477,132.503,53,0,0
9476,211.684,127,0,0
9475,188.322,75,0,0
9474,301.602,180,0,0
9473,198.648,79,0,0
9472,148.084,59,0,0
9471,276.48,165,0,0
9470,156.416,62,0,0
9469,164.985,65,0,0
9468,148.933,59,0,0
9467,156.17,62,0,0
9466,215.845,129,0,0
9465,178.138,71,0,0
9464,235.051,141,0,0
9463,225.938,135,0,0
9462,199.251,79,0,0
9461,220.166,132,0,0
9460,333.732,200,0,0
9459,151.433,60,0,0
9458,131.469,52,0,0
9457,187.387,74,0,0
9456,152.322,60,0,0
9455,164.83,65,0,0
9454,223.913,134,0,0
9453,167.705,67,0,0
9452,137.928,55,0,0
9451,243.002,145,0,0
9450,152.161,60,0,0
9449,304.138,182,0,0
9448,133.225,53,0,0
9447,194.538,77,0,0
9446,140.417,56,0,0
9445,187.072,74,0,0
9444,168.19,67,0,0
9443,154.635,61,0,0
9442,168.502,67,0,0
9441,123.879,49,0,0
9440,139.603,55,0,0
9439,128.406,51,0,0
9438,207.473,124,0,0
9437,180.361,72,0,0
9436,167.967,67,0,0
9435,161.474,64,0,0
9434,240.217,144,0,0
9433,314.035,188,0,0
9432,341.533,204,0,0
9431,136.015,54,0,0
9430,222.144,133,0,0
9429,159.154,63,0,0
9428,173.658,69,0,0
9427,209.459,125,0,0
9426,223.618,134,0,0
9425,172.754,69,0,0
9424,142.836,57,0,0
9423,172.169,68,0,0
9422,204.083,122,0,0
9421,177.003,70,0,0
9420,209.497,125,0,0
9419,201.814,121,0,0
9418,139.442,55,0,0
9417,136.499,54,0,0
9416,181.706,72,0,0
9415,132.85,53,0,0
9414,207.386,124,0,0
9413,219.647,131,0,0
9412,206.891,124,0,0
9411,233.42,140,0,0
9410,178.676,71,0,0
9409,156.732,62,0,0
9408,175.308,70,0,0
9407,167.61,67,0,0
9406,285.335,171,0,0
9405,144.309,57,0,0
9404,222.643,133,0,0
9403,219.367,131,0,0
9402,257.635,154,0,0
9401,144.669,57,0,0
9400,225.002,135,0,0
9399,236.282,141,0,0
9398,150.03,60,0,0
9397,128.55,51,0,0
9396,148.923,59,0,0
9395,147.648,59,0,0
9394,133.69,53,0,0
9393,189.19,75,0,0
9392,165.484,66,0,0
9391,174.187,69,0,0
9390,152.532,61,0,0
9389,252.343,151,0,0
9388,225.801,135,0,0
9387,206.981,124,0,0
9386,317.099,190,0,0
9385,181.135,72,0,0
9384,319.631,191,0,0
9383,160.031,64,0,0
9382,229.957,137,0,0
9381,141.241,56,0,0
9380,219.135,131,0,0
9379,215.801,129,0,0
9378,173.511,69,0,0
9377,218.488,131,0,0
9376,151.714,60,0,0
9375,194.33,77,0,0
9374,186.188,74,0,0
9373,159.662,63,0,0
9372,151,60,0,0
9371,138.134,55,0,0
9370,154.638,61,0,0
9369,208.062,124,0,0
9368,359.68,215,0,0
9367,244.724,146,0,0
9366,134.826,53,0,0
9365,178.373,71,0,0
9364,134.715,53,0,0
9363,142.056,56,0,0
9362,160.823,64,0,0
9361,189.771,75,0,0
9360,126.396,50,0,0
9359,257.661,154,0,0
9358,207.781,124,0,0
9357,178.045,71,0,0
9356,124.904,49,0,0
9355,197.952,79,0,0
9354,269.98,161,0,0
9353,140.207,56,0,0
9352,201.246,120,0,0
9351,228.316,136,0,0
9350,184.272,73,0,0
9349,135.329,54,0,0
9348,257.527,154,0,0
9347,230.384,138,0,0
9346,202.97,121,0,0
9345,133.555,53,0,0
9344,132.185,52,0,0
9343,190.421,76,0,0
9342,156.109,62,0,0
9341,192.899,77,0,0
9340,281.256,168,0,0
9339,190.276,76,0,0
9338,297.417,178,0,0
9337,234.44,140,0,0
9336,244.008,146,0,0
9335,237.929,142,0,0
9334,276.407,165,0,0
9333,151.083,60,0,0
9332,126.921,50,0,0
9331,176.185,70,0,0
9330,168.077,67,0,0
9329,255.539,153,0,0
9328,157.003,62,0,0
9327,422.452,253,0,0
9326,236.882,142,0,0
9325,263.486,158,0,0
9324,225.162,135,0,0
9323,169.239,67,0,0
9322,183.883,73,0,0
9321,319.453,191,0,0
9320,130.981,52,0,0
9319,241.868,145,0,0
9318,162.077,64,0,0
9317,171.129,68,0,0
9316,226.815,136,0,0
9315,161.075,64,0,0
9314,153.101,61,0,0
9313,189.108,75,0,0
9312,142.394,56,0,0
9311,219.695,131,0,0
9310,163.487,65,0,0
9309,123.879,49,0,0
9308,256.096,153,0,0
9307,243.824,146,0,0
9306,183.742,73,0,0
9305,163.355,65,0,0
9304,257.049,154,0,0
9303,187.883,75,0,0
9302,180.314,72,0,0
9301,212.398,127,0,0
9300,250.162,150,0,0
9299,144.003,57,0,0
9298,169.056,67,0,0
9297,190.192,76,0,0
9296,212.793,127,0,0
9295,175.391,70,0,0
9294,259.046,155,0,0
9293,237.697,142,0,0
9292,145.619,58,0,0
9291,128.456,51,0,0
9290,138.311,55,0,0
9289,161.595,64,0,0
9288,155.631,62,0,0
9287,258.863,155,0,0
9286,228.02,136,0,0
9285,190.318,76,0,0
9284,219.672,131,0,0
9283,150.851,60,0,0
9282,202.83,121,0,0
9281,186.132,74,0,0
9280,157.892,63,0,0
9279,187.83,75,0,0
9278,228.215,136,0,0
9277,162.61,65,0,0
9276,218.9,131,0,0
9275,152.21,60,0,0
9274,193.373,77,0,0
9273,136.059,54,0,0
9272,163.527,65,0,0
9271,184.532,73,0,0
9270,151.427,60,0,0
9269,198.285,79,0,0
9268,145.331,58,0,0
9267,153.834,61,0,0
9266,168.44,67,0,0
9265,134.332,53,0,0
9264,247.487,148,0,0
9263,123.81,49,0,0
9262,154.201,61,0,0
9261,151.585,60,0,0
9260,168.122,67,0,0
9259,161.524,64,0,0
9258,154.175,61,0,0
9257,263.941,158,0,0
9256,275.118,165,0,0
9255,139.119,55,0,0
9254,239.416,143,0,0
9253,130.05,52,0,0
9252,232.562,139,0,0
9251,263.644,158,0,0
9250,135.956,54,0,0
9249,241.05,144,0,0
9248,151.608,60,0,0
9247,231.019,138,0,0
9246,127.64,51,0,0
9245,138.398,55,0,0
9244,156.924,62,0,0
9243,234.105,140,0,0
9242,151.822,60,0,0
9241,186.29,74,0,0
9240,131.461,52,0,0
9239,228.423,137,0,0
9238,123.628,49,0,0
9237,335.882,201,0,0
9236,211.4,126,0,0
9235,136.125,54,0,0
9234,163.49,65,0,0
9233,131.727,52,0,0
9232,155.756,62,0,0
9231,132.981,53,0,0
9230,193.217,77,0,0
9229,138.192,55,0,0
9228,162.929,65,0,0
9227,195,78,0,0
9226,165,66,0,0
9225,193.786,77,0,0
9224,142.695,57,0,0
9223,295,177,0,0
9222,313.345,188,0,0
9221,199.161,79,0,0
9220,136.213,54,0,0
9219,159.289,63,0,0
9218,230.703,138,0,0
9217,281.157,168,0,0
9216,235.847,141,0,0
9215,261.947,157,0,0
9214,186.593,74,0,0
9213,162.604,65,0,0
9212,303.727,182,0,0
9211,248.171,148,0,0
9210,169.664,67,0,0
9209,254.018,152,0,0
9208,254.283,152,0,0
9207,168.6,67,0,0
9206,134.893,53,0,0
9205,137.091,54,0,0
9204,187.878,75,0,0
9203,127.472,50,0,0
9202,127.769,51,0,0
9201,248.244,148,0,0
9200,233.189,139,0,0
9199,160.462,64,0,0
9198,138.521,55,0,0
9197,143.136,57,0,0
9196,262.393,157,0,0
9195,184.621,73,0,0
9194,153.838,61,0,0
9193,171.735,68,0,0
9192,123.713,49,0,0
9191,213.321,127,0,0
9190,257.938,154,0,0
9189,243.906,146,0,0
9188,145.825,58,0,0
9187,206.456,123,0,0
9186,154.496,61,0,0
9185,130,52,0,0
9184,271.662,162,0,0
9183,149.683,59,0,0
9182,153.883,61,0,0
9181,162.561,65,0,0
9180,305.203,183,0,0
9179,155.862,62,0,0
9178,155.901,62,0,0
9177,180.472,72,0,0
9176,158.316,63,0,0
9175,154.003,61,0,0
9174,240.052,144,0,0
9173,261.429,156,0,0
9172,141.354,56,0,0
9171,211.625,126,0,0
9170,133.843,53,0,0
9169,881.445,528,0,0
9168,185.219,74,0,0
9167,179.047,71,0,0
9166,330.22,198,0,0
9165,125.515,50,0,0
9164,217.368,130,0,0
9163,279.614,167,0,0
9162,156.016,62,0,0
9161,177.992,71,0,0
9160,167.195,66,0,0
9159,325.042,195,0,0
9158,200.998,120,0,0
9157,227.693,136,0,0
9156,139.086,55,0,0
9155,164.201,65,0,0
9154,159.261,63,0,0
9153,211.483,126,0,0
9152,173.511,69,0,0
9151,208.019,124,0,0
9150,142.899,57,0,0
9149,423.332,253,0,0
9148,264.622,158,0,0
9147,199.01,79,0,0
9146,244.761,146,0,0
9145,128.81,51,0,0
9144,163.441,65,0,0
9143,124.403,49,0,0
9142,184.762,73,0,0
9141,162.874,65,0,0
9140,167.156,66,0,0
9139,237.592,142,0,0
9138,155.206,62,0,0
9137,130.096,52,0,0
9136,191.191,76,0,0
9135,279.546,167,0,0
9134,247.843,148,0,0
9133,149.054,59,0,0
9132,150.283,60,0,0
9131,286.63,171,0,0
9130,153.029,61,0,0
9129,173.046,69,0,0
9128,241.537,144,0,0
9127,227.563,136,0,0
9126,161.149,64,0,0
9125,182.981,73,0,0
9124,165.052,66,0,0
9123,133.33,53,0,0
9122,136.693,54,0,0
9121,155.242,62,0,0
9120,188.215,75,0,0
9119,177.496,70,0,0
9118,156.029,62,0,0
9117,221.903,133,0,0
9116,136.132,54,0,0
9115,240.416,144,0,0
9114,337.48,202,0,0
9113,324.275,194,0,0
9112,272.406,163,0,0
9111,548.753,329,0,0
9110,180.369,72,0,0
9109,461.966,277,0,0
